deployment_level,mach,cd_increment
0.672,0.5357,0.06402920049999994
0.672,0.5417,0.06555387149999997
0.672,0.5485,0.06361487100000002
0.672,0.5561,0.06105386700000004
0.672,0.5649,0.06207884600000002
0.672,0.5752,0.05982595299999999
0.672,0.6186,0.064209764
0.672,0.625,0.06532831099999997
0.672,0.632,0.06435132700000001
0.672,0.6399,0.063322145
0.672,0.6488,0.063569392
0.672,0.659,0.06291270299999996
0.672,0.6711,0.06147088399999995
0.672,0.707,0.06436277149999997
0.672,0.7142,0.0653360395
0.672,0.7223,0.064487232
0.672,0.7313,0.064053849
0.672,0.7415,0.063434873
0.672,0.7532,0.062678915
0.672,0.767,0.061511521999999985
0.672,0.7953,0.06520014999999996
0.672,0.8035,0.06600571599999999
0.672,0.8126,0.06507807400000004
0.672,0.8227,0.064499364
0.672,0.8342,0.06393759700000001
0.672,0.8473,0.06339576899999999
0.672,0.8628,0.06206004300000001
0.672,0.8837,0.065829005
0.672,0.8928,0.06559814199999997
0.672,0.9029,0.06543754600000001
0.672,0.9141,0.06468092199999997
0.672,0.9268,0.06464098100000004
0.672,0.9415,0.06377559
0.672,0.9587,0.062961773
0.7759,0.0884,0.06010946150000007
0.7759,0.0893,0.06262027450000007
0.7759,0.0903,0.06753066150000003
0.7759,0.0914,0.07012887650000005
0.7759,0.0927,0.07376756350000008
0.7759,0.0941,0.07991532050000005
0.7759,0.0959,0.070506768
0.7759,0.1767,0.07299518425000001
0.7759,0.1786,0.07258435125000001
0.7759,0.1806,0.07290097625000003
0.7759,0.1828,0.07446634125000001
0.7759,0.1854,0.06649928366666669
0.7759,0.1883,0.06981140966666666
0.7759,0.1917,0.07355863866666668
0.7759,0.2651,0.08330622975000002
0.7759,0.2678,0.08451623575
0.7759,0.2709,0.08578840775000002
0.7759,0.2742,0.08656331575000004
0.7759,0.2781,0.07869835399999997
0.7759,0.2824,0.07897846999999997
0.7759,0.2876,0.074156039
0.7759,0.3535,0.08884392499999999
0.7759,0.3571,0.08733378200000003
0.7759,0.3611,0.088625925
0.7759,0.3656,0.085463495
0.7759,0.3707,0.086729944
0.7759,0.3766,0.08138919049999999
0.7759,0.3835,0.08204125350000002
0.7759,0.4419,0.090672953
0.7759,0.4464,0.08898792049999998
0.7759,0.4514,0.09003773050000002
0.7759,0.457,0.08640071799999999
0.7759,0.4634,0.08591547
0.7759,0.4707,0.08494120300000002
0.7759,0.4793,0.084146936
0.7759,0.5302,0.09294911
0.7759,0.5357,0.09109854349999996
0.7759,0.5417,0.09228835849999995
0.7759,0.5485,0.09043404999999999
0.7759,0.5561,0.08813895100000002
0.7759,0.5649,0.08957720300000005
0.7759,0.5752,0.08660891399999998
0.7759,0.6186,0.092726592
0.7759,0.625,0.09393480199999998
0.7759,0.632,0.09270825999999999
0.7759,0.6399,0.09120329499999996
0.7759,0.6488,0.091024098
0.7759,0.659,0.09005386099999996
0.7759,0.6711,0.08837151299999996
0.7759,0.707,0.0924932825
0.7759,0.7142,0.09385205349999998
0.7759,0.7223,0.09266488300000003
0.7759,0.7313,0.09193414300000002
0.7759,0.7415,0.09200823600000002
0.7759,0.7532,0.09125628500000005
0.7759,0.767,0.08928103899999995
0.7759,0.7953,0.09209352199999998
0.7759,0.8035,0.093273416
0.7759,0.8126,0.09219895
0.7759,0.8227,0.09181410400000001
0.7759,0.8342,0.091363729
0.7759,0.8473,0.09051330400000002
0.7759,0.8628,0.090135821
0.7759,0.8837,0.09282371899999997
0.7759,0.8928,0.09237484399999996
0.7759,0.9029,0.09223404600000001
0.7759,0.9141,0.09247836199999998
0.7759,0.9268,0.09161066400000001
0.7759,0.9415,0.09103297599999999
0.7759,0.9587,0.090217412
0.8589,0.0884,0.08070251050000005
0.8589,0.0893,0.08043167750000008
0.8589,0.0903,0.08344861650000007
0.8589,0.0914,0.08575394750000004
0.8589,0.0927,0.08114929450000008
0.8589,0.0941,0.08692724350000008
0.8589,0.0959,0.07463728399999997
0.8589,0.1767,0.08873399125000003
0.8589,0.1786,0.09034535125000004
0.8589,0.1806,0.09323829825000002
0.8589,0.1828,0.10115031625000004
0.8589,0.1854,0.09141506766666668
0.8589,0.1883,0.0935779246666667
0.8589,0.1917,0.0893258136666667
0.8589,0.2651,0.09050130375000004
0.8589,0.2678,0.09424487675000004
0.8589,0.2709,0.09422714575000002
0.8589,0.2742,0.09500155075
0.8589,0.2781,0.09048177199999996
0.8589,0.2824,0.09368146
0.8589,0.2876,0.09405407599999999
0.8589,0.3535,0.09728510400000001
0.8589,0.3571,0.09979328700000001
0.8589,0.3611,0.101338064
0.8589,0.3656,0.09818987100000004
